Domain Type,Agency,Organization,routeable_url,subdomain,domain,tld
Federal Agency - Executive,Department of Homeland Security,United States Computer Emergency Readiness Team,https://www.us-cert.gov/,,us-cert,gov
Federal Agency - Executive,Department of Homeland Security,US Citizenship and Immigration Services,https://www.uscis.gov/,,uscis,gov
Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,https://www.hud.gov,,hud,gov
Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,https://fha.gov/,,fha,gov
Federal Agency - Executive,Department of Housing and Urban Development,Government National Mortgage Association,https://ginniemae.gov/pages/default.aspx,,ginniemae,gov
Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,https://homesales.gov/homesales/mainAction.do,,homesales,gov
Federal Agency - Executive,Department of Housing and Urban Development,Office of Inspector General,https://hudoig.gov/,,hudoig,gov
Federal Agency - Executive,Department of Housing and Urban Development,Office of Policy Development and Research,https://www.huduser.gov/,,huduser,gov
Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,https://opportunityzones.hud.gov/,opportunityzones,hud,gov
Federal Agency - Executive,Department of Justice,Department of Justice,https://www.ada.gov/,,ada,gov
Federal Agency - Executive,Department of Justice,Department of Justice,https://amberalert.ojp.gov/,amberalert,ojp,gov
Federal Agency - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",https://www.atf.gov,,atf,gov
Federal Agency - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",https://www.atfonline.gov/default.htm,,atfonline,gov
Federal Agency - Executive,Department of Justice,Criminal Justice Information Services,https://www.fbi.gov/services/cjis/fingerprints-and-other-biometrics/biometric-center-of-excellence-1,,fbi,gov
Federal Agency - Executive,Department of Justice,Office of Justice Programs,https://bja.ojp.gov/,bja,ojp,gov
Federal Agency - Executive,Department of Justice,Office of Justice Programs,https://bjs.gov/,,bjs,gov
Federal Agency - Executive,Department of Justice,Federal Bureau of Prisons,https://www.bop.gov/,,bop,gov
Federal Agency - Executive,Department of Justice,Drug Enforcement Administration,https://www.campusdrugprevention.gov/,,campusdrugprevention,gov
Federal Agency - Executive,Department of Justice,Office of Justice Programs,https://crimesolutions.gov/,,crimesolutions,gov
Federal Agency - Executive,Department of Justice,Office of Justice Programs,https://crimevictims.gov/,,crimevictims,gov
Federal Agency - Executive,Department of Justice,Department of Justice,https://www.justice.gov/criminal-ccips,,justice,gov
Federal Agency - Executive,Department of Justice,Department of Justice,https://www.dea.gov/,,dea,gov
Federal Agency - Executive,Department of Justice,Department of Justice,https://www.deaecom.gov/,,deaecom,gov
Federal Agency - Executive,Department of Justice,Domestic Security Alliance Council,https://www.dsac.gov,,dsac,gov
Federal Agency - Executive,Department of Justice,Federal Bureau of Investigation,https://fbijobs.gov/,,fbijobs,gov
Federal Agency - Executive,Department of Justice,Office of e-Government,https://www.foia.gov/,,foia,gov
Federal Agency - Executive,Department of Justice,Criminal Division,https://forfeiture.gov/,,forfeiture,gov
Federal Agency - Executive,Department of Justice,Drug Enforcement Agency,https://www.getsmartaboutdrugs.gov/,,getsmartaboutdrugs,gov
Federal Agency - Executive,Department of Justice,Internet Crime Complaint Center,https://ic3.gov/,,ic3,gov
Federal Agency - Executive,Department of Justice,U.S Immigration and Customs Enforcement,https://www.iprcenter.gov/,,iprcenter,gov
Federal Agency - Executive,Department of Justice,Department of Justice,https://www.justthinktwice.gov/,,justthinktwice,gov
Federal Agency - Executive,Department of Justice,Office of Justice Programs,https://www.juvenilecouncil.gov/,,juvenilecouncil,gov
Federal Agency - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",https://www.learnatf.gov/landingpage/index.html,,learnatf,gov
Federal Agency - Executive,Department of Justice,Department of Justice,https://www.lep.gov/,,lep,gov
